projectno,phase,climate_relevance,climate_class,titleSAP,title,lead,background,text,targetGroup,keyPreviousResults,outcomes,keyExpectedResults,target,Projects Coordination,Partners,activities,keyResults,Year,endDatePhase,Budget of CH - Box,CH_Disbursement,Total Budget,Budget Project CH Manual,Total Project Budget,Agency,AidType,Contract Partner,Manual Contract Partner,Type of Contract Partner,Manual Implementing Partner,Type of Implementing Partner,Responsible Person,Responsible Area,Strategic Focus,Results Organisation,effectOrganisation,effectSwitzerland,Results Switzerland,Donors,Donors coordination,Donor order,Budget of CH for Organisation,Budget of Organisation,Manual End Date of Phase - Box,Manual Project Budget of CH - Box,lastReplicationAction,lastModified,lastModifiedBy,projectLastReplicationAction,projectLastModified,projectLastModifiedBy,Column1,_1,_2,_3,_4,_5,_6,scraped_country,climate_class_number,meta_category,project_id,project_phase,total_disbursement,climate_mitigation,climate_adaptation,recipient_name
7F00403,18,0,,AFR8 - ENDA - contribution 2010-11,ENDA Environment and Development of the Third World,,,enda environment and development of the third world,,,,,,,,,,2010,31.12.2012 00:00,1250000,1250000.0,,,,[agency:sdc],[aidtype:corecontribution],[partnercontract:non-profitorgofsoutheast],,[partnercontracttype:ngo-international-foreign],,[],.,,,,,,,,,,,,,,,,,,,,Activate,08.10.2019 10:46,reference-adjustment-service,Activate,08.10.2019 10:46,reference-adjustment-service,,West Africa,500,,7F-00403,7F-00403.18,1.25,0.0,3.0,"South of Sahara, regional"
7F00404,6,0,,NSIMA PHASE 01/2011- 12/2014,Maize initiative in Southern Africa,The &quot;New Seed Initiative for Maize in Southern Africa&quot; (NSIMA) was launched for the purpose of conducting research into drought-tolerant maize varieties that can generate bigger harvests than conventional varieties. even in less fertile soil. The ultimate aim is to achieve greater food security. At the same time. NSIMA activities involve cooperation with government and private-sector stakeholders in the maize sector to encourage seed production and trade (also for small-scale producers).  ,Maize is an important staple in Southern Africa. Droughts and poor soil often result in bad harvests or total harvest failure,maize initiative in southern africa the quotnew seed initiative for maize in southern africaquot nsima was launched for the purpose of conducting research into droughttolerant maize varieties that can generate bigger harvests than conventional varieties even in less fertile soil the ultimate aim is to achieve greater food security at the same time nsima activities involve cooperation with government and privatesector stakeholders in the maize sector to encourage seed production and trade also for smallscale producers maize is an important staple in southern africa droughts and poor soil often result in bad harvests or total harvest failure,Smallholder farmers,,,,Food security and improved access to seed. Promotion of income for smallholders farmers,,,,,2011,30.09.2015 00:00,2920000,2846052.89,,,,[agency:sdc],[aidtype:projectprogrammecontribution. aidtype:sdcinternaladmincosts],[partnercontract:cgiarinclallcgiarmembers. partnercontract:sdcfieldoffice],National research units in SADC countries. seed dealers. small farmers,[partnercontracttype:academicandresearchorganizationinternationalforeign. partnercontracttype:nocontractpartner],,[],SCPO Harare.,,,,,,,,,,,,,,,,,,,,Activate,08.10.2019 10:46,reference-adjustment-service,Activate,08.10.2019 10:46,reference-adjustment-service,,Southern African Development Community (SADC),500,,7F-00404,7F-00404.06,2.846053,0.0,14.0,"South of Sahara, regional"
7F00455,4,0,,PDR Wadi Fira,Wadi Fira Rural Development Program,,,wadi fira rural development program,,,,,,,,,,2008,31.12.2012 00:00,3070000,3766865.69,,,,[agency:sdc],[aidtype:projectprogrammecontribution],[partnercontract:nocontractpartner. partnercontract:non-profitorgofsoutheast],,[partnercontracttype:ngo-international-foreign. partnercontracttype:nocontractpartner],,[],SCO N&#39;Djamena.,,,,,,,,,,,,,,,,,,,,Activate,08.10.2019 10:46,reference-adjustment-service,Activate,08.10.2019 10:46,reference-adjustment-service,,Chad,500,,7F-00455,7F-00455.04,3.135403,0.0,4.0,Chad
7F00455,5,0,,W-Fira Rural Development Program,Wadi Fira Rural Development Programme (PDR-WF),In a Sahelian region subject to climatic hazards. this program contributes to meeting the socio-economic and cultural aspirations of rural communities engaged in the search for food self-sufficiency and better access to quality basic social services (education and health). This phase 5 will be the last phase of direct support from the SDC to the NGO&#39;s program. The latter will be able to seek mandates in the same way as other Chadian NGOs within the framework of the new programs developed by the SDC in Chad.  ,Located in eastern Chad. bordering Sudanese Darfur. the Wadi Fira region is poorly served by the decentralized services of the State. The presence of more than 100.000 refugees weighs on an already fragile environment. The levels of access to health and education are very low: the global acute malnutrition rate is 18% and the school enrollment rate is 59%. As in all regions of the north and east. with the exception of humanitarian actors. there are practically no development agencies that intervene on a continuous basis. The NGO PDR-WF is practically the only organization that supports communities in their structuring and development based on human resources and the potential of the region (market gardening. livestock. lowlands).,wadi fira rural development programme pdrwf in a sahelian region subject to climatic hazards this program contributes to meeting the socioeconomic and cultural aspirations of rural communities engaged in the search for food selfsufficiency and better access to quality basic social services education and health this phase will be the last phase of direct support from the sdc to the ngos program the latter will be able to seek mandates in the same way as other chadian ngos within the framework of the new programs developed by the sdc in chad located in eastern chad bordering sudanese darfur the wadi fira region is poorly served by the decentralized services of the state the presence of more than refugees weighs on an already fragile environment the levels of access to health and education are very low the global acute malnutrition rate is and the school enrollment rate is as in all regions of the north and east with the exception of humanitarian actors there are practically no development agencies that intervene on a continuous basis the ngo pdrwf is practically the only organization that supports communities in their structuring and development based on human resources and the potential of the region market gardening livestock lowlands,Rural communities in the region; Producers on family farms; Producer groups (M. F and mixed). peasant unions; School groups and committees. Health center management committees; Traditional midwives; Teachers. ,In the 80 schools monitored by the NGO in 2012. there were 9.944 students. including 3.995 girls. Over the last 4 years. 2.115 students (approx. 30% girls) from these schools have passed the 6th grade entrance exam and are now continuing the normal cycle (middle and high school). In the field of agriculture and food security. more than 2.600 new producers (40% women) trained are improving their agricultural production and income by adopting technical innovations (routes. water pumping systems. etc.). diversification and/or intensification. The organization and involvement of communities in the operation and management of 12 of the 25 health facilities in the region has enabled better management of the resources of these structures and an increase in the attendance rate from 16.5 to 22.9%. from 2008 to 2011 (compared to 9.3 to 10.7% for all centers in the region).,(i) The food security of the population is improved while preserving natural resources (ii) Access to and quality of education and the level of schooling improve equitably in the region (for men. women and disadvantaged groups) (iii) Access to and quality of primary health care are improved (iv) The strategic needs and interests of all components of the population are taken into account equitably in the Local Development Plans (PDL) and local management agreements (v) The institutional. organizational and management capacity of the NGO is improved.,,The equitable development of agriculture and livestock breeding. good management of natural resources as well as access to quality education and care allow the emergence of a prosperous economy improving the living conditions of the populations of Wadi-Fira.,,,,,2012,30.06.2016 00:00,1700000,1565545.99,,,,[agency:sdc],[aidtype:projectprogrammecontribution],[partnercontract:non-profitorgofsoutheast],Wadi Fira Rural Development Programme (PDR-WF),[partnercontracttype:ngo-international-foreign],,[],SCO N&#39;Djamena.,,,,,,,,,,,,,,,,,,,,Activate,08.10.2019 10:46,reference-adjustment-service,Activate,08.10.2019 10:46,reference-adjustment-service,,Chad,500,,7F-00455,7F-00455.05,1.565949,0.0,13.0,Chad
7F00457,6,0,,ONG Batha - ADRB,ADRB - Association for the Rural Development of Batha,,,adrb association for the rural development of batha,,,,,,,,,,2010,30.06.2012 00:00,1300000,1313624.2,,,,[agency:sdc],[aidtype:projectprogrammecontribution],[partnercontract:non-profitorgofsoutheast],,[partnercontracttype:ngo-international-foreign],,[],SCO N&#39;Djamena.,,,,,,,,,,,,,,,,,,,,Activate,08.10.2019 10:46,reference-adjustment-service,Activate,08.10.2019 10:46,reference-adjustment-service,,Chad,500,,7F-00457,7F-00457.06,1.313624,0.0,4.0,Chad
7F00457,7,0,,ADRB - Association for Development,ADRB - Association for the Rural Development of Batha,The Batha region faces many challenges  extreme poverty. cyclical food crises. weak state services. The project aims to support the populations. the vast majority of whom are rural and nomadic. to diversify and enhance their production and also to promote access to basic social services. The project&#39;s priorities are part of the National Poverty Reduction Strategy.  ,Although the decentralization of public administration continues. the State still has very little presence in Batha. Communities are developing their agro-pastoral activities. setting up community schools and literacy centers. and improving their access to health care thanks to the support of local NGOs such as the Association for Rural Development of Batha (ADRB). In the Batha region. the school enrollment rate in 2010/2011 was 76% and the primary school completion rate was 19%. The illiteracy rate for adults over 15 years old was 93%. In terms of health. 16% of children under 5 years old suffer from malnutrition; 27 health centers and 5 doctors are available for 539.000 inhabitants.,adrb association for the rural development of batha the batha region faces many challenges extreme poverty cyclical food crises weak state services the project aims to support the populations the vast majority of whom are rural and nomadic to diversify and enhance their production and also to promote access to basic social services the projects priorities are part of the national poverty reduction strategy although the decentralization of public administration continues the state still has very little presence in batha communities are developing their agropastoral activities setting up community schools and literacy centers and improving their access to health care thanks to the support of local ngos such as the association for rural development of batha adrb in the batha region the school enrollment rate in was and the primary school completion rate was the illiteracy rate for adults over years old was in terms of health of children under years old suffer from malnutrition health centers and doctors are available for inhabitants,Rural communities in the Batha regionProducers on family farms. producer groups. peasant unionsHealth committees and management committees. traditional midwives and traditional practitionersParent-teacher associations (APE) ,550 producers are able to cover their food needs and have increased their income (average improvement in their production of 30%); 12.971 students (6.776 girls) have been educated in 70 community schools; 112 traditional midwives assist with deliveries and help diagnose high-risk pregnancies in time; The level of empowerment of the NGO is generally satisfactory with an experienced team. an involved board of directors and initial successes in diversifying partnerships (FAO. WFP. IFAD); Self-financing of the Multipurpose Training Center remains a major challenge.,Food security and the economic situation of the populations have improved in the intervention areas. School enrollment and literacy rates have increased. Access to basic health services and their quality have been strengthened. The institutional and organizational functioning of the ADRB has been improved. ,,The socio-economic living conditions of rural populations in the Batha region have improved thanks to the emergence of a prosperous and evolving rural economy. as well as the development of an adapted socio-educational and health system.,,,,,2012,31.08.2015 00:00,1435000,1441268.12,,,,[agency:sdc],[aidtype:projectprogrammecontribution],[partnercontract:non-profitorgofsoutheast],Association for the Rural Development of Batha (ADRB),[partnercontracttype:ngo-international-foreign],,[],SCO N&#39;Djamena.,,,,,,,,,,,,,,,,,,,,Activate,08.10.2019 10:46,reference-adjustment-service,Activate,08.10.2019 10:46,reference-adjustment-service,,Chad,500,,7F-00457,7F-00457.07,1.441932,0.0,11.0,Chad
7F00459,6,0,,APIDEL Ennedi Phase 2010-2012 CLSD,Ennedi. regional development,,,ennedi regional development,,,,,,,,,,2010,30.09.2012 00:00,1400000,1321501.84,,,,[agency:sdc],[aidtype:projectprogrammecontribution],[partnercontract:non-profitorgofsoutheast],,[partnercontracttype:ngo-international-foreign],,[],SCO N&#39;Djamena.,,,,,,,,,,,,,,,,,,,,Activate,08.10.2019 10:46,reference-adjustment-service,Activate,08.10.2019 10:46,reference-adjustment-service,,Chad,500,,7F-00459,7F-00459.06,1.345636,0.0,4.0,Chad
7F00464,5,0,,Middle Chari. Phase 5,Moyen-Chari. regional development,,,moyenchari regional development,,,,,,,,,,2009,31.03.2011 00:00,753000,843345.64,,,,[agency:sdc],[aidtype:projectprogrammecontribution],[partnercontract:nocontractpartner. partnercontract:non-profitorgofsoutheast],,[partnercontracttype:ngo-international-foreign. partnercontracttype:nocontractpartner],,[],SCO N&#39;Djamena.,,,,,,,,,,,,,,,,,,,,Activate,08.10.2019 10:46,reference-adjustment-service,Activate,08.10.2019 10:46,reference-adjustment-service,,Chad,500,,7F-00464,7F-00464.05,0.8433459999999999,0.0,3.0,Chad
7F00464,6,0,,ONG APDI MOYEN CHARI,Moyen-Chari. regional development,,,moyenchari regional development,,,,,,,,,,2011,30.06.2013 00:00,786000,685286.16,,,,[agency:sdc],[aidtype:projectprogrammecontribution],[partnercontract:non-profitorgofsoutheast],,[partnercontracttype:ngo-international-foreign],,[],SCO N&#39;Djamena.,,,,,,,,,,,,,,,,,,,,Activate,08.10.2019 10:46,reference-adjustment-service,Activate,08.10.2019 10:46,reference-adjustment-service,,Chad,500,,7F-00464,7F-00464.06,0.745307,0.0,4.0,Chad
7F00464,7,0,,ONG APDI,APDI - Association for the Promotion of Sustainable and Integral Development, The SDC actively supports the empowerment of local NGOs resulting from its programs. It is contributing for a final 3-year phase to the APDI NGO program. which addresses the socio-economic and cultural challenges of rural communities in Moyen Chari. The program aims to diversify and enhance agricultural production. strengthen the quality of education and health systems. and improve local development management capacities. It focuses on three cantons and works closely with local stakeholders and decentralized government services.  ,Even though the State is present in the region through its decentralized services. the latter lack the motivation. skills and resources to provide quality services. Aware of these issues. communities organize themselves through groups and associations to compensate for the weaknesses of the State. There are 665 primary schools in the region. 65% of which are community-based; 2.185 teachers. 51% of whom are community-based; 53 health centers. mostly community-based. private or denominational. The role of APDI is essential to strengthen a dynamic of diversified agricultural production. profitable but mindful of the protection of natural resources and capable of supporting the equitable development of basic socio-educational offers.,apdi association for the promotion of sustainable and integral development the sdc actively supports the empowerment of local ngos resulting from its programs it is contributing for a final year phase to the apdi ngo program which addresses the socioeconomic and cultural challenges of rural communities in moyen chari the program aims to diversify and enhance agricultural production strengthen the quality of education and health systems and improve local development management capacities it focuses on three cantons and works closely with local stakeholders and decentralized government services even though the state is present in the region through its decentralized services the latter lack the motivation skills and resources to provide quality services aware of these issues communities organize themselves through groups and associations to compensate for the weaknesses of the state there are primary schools in the region of which are communitybased teachers of whom are communitybased health centers mostly communitybased private or denominational the role of apdi is essential to strengthen a dynamic of diversified agricultural production profitable but mindful of the protection of natural resources and capable of supporting the equitable development of basic socioeducational offers,Elected members of the Cantonal Consultation and Development Frameworks (CCCD); Community Development Assemblies (ACD); networks of producers/those and Traditional Midwives. Parents&#39; Associations (APE). Management Committees - Alpha and ÂME. Illiterate adults. girls and boys from the three cantons.,364 producers including 106 trained women have improved their agricultural yields by at least 50%. Thanks to the income. some have improved their habitat by building houses made of sustainable materials or saved in savings and credit banks; 8.412 students (3.563 girls) have been educated in 30 community schools including 15 in national languages; the promotion rate to the next class has increased by 10%. The number of learners in literacy centers is 240 including 178 women (74%). Three (3) networks of Traditional Midwives (TMW) have been set up and are awaiting legal recognition. The NGO is advocating with the government to improve their working conditions. APDI successfully executed a mandate from the European Union during phase 6.,Food security in the intervention area is strengthened through entrepreneurial management of farms and diversification. The theoretical and practical performance of children and adults of both sexes is improved through better performance by teachers and school committees that implement innovations that bring quality education. They invest the skills acquired to improve their living conditions; The management and leadership capacities of targeted organizations. in particular the Cantonal Consultation and Development Frameworks (CCCD) are strengthened and become project owners for the implementation of their Local Development Plan (PDL); The institutional and organizational capacities of the NGO are strengthened and its interventions are recognized in the region.,,Strengthen the economic power of rural populations in the 3 cantons (Banda. Koumogo and Moyo) of the Moyen Chari Region. with a view to promoting socio-educational development and local governance in a sustainable manner. in peace and equity.,,,,,2013,30.06.2016 00:00,1500000,1218600.12,,,,[agency:sdc],[aidtype:projectprogrammecontribution],[partnercontract:non-profitorgofsoutheast],APDI,[partnercontracttype:ngo-international-foreign],,[],SCO N&#39;Djamena.,,,,,,,,,,,,,,,,,,,,Activate,08.10.2019 10:46,reference-adjustment-service,Activate,08.10.2019 10:46,reference-adjustment-service,,Chad,500,,7F-00464,7F-00464.07,1.246251,0.0,10.0,Chad
